Index,Target Var,Method,CrossValMeans,CrossValerrors,Model
Canadian Grand Prix,statusId,Gradient Boosting,0.6862745098039215,0.03668291555660728,1_4
Canadian Grand Prix,statusId,Logistic Regression,0.6568627450980392,0.0909178283872128,1_4
Canadian Grand Prix,statusId,KNN,0.6960784313725491,0.013864838846795053,1_4
Canadian Grand Prix,statusId,SVC,0.7450980392156863,0.03668291555660723,1_4
Canadian Grand Prix,statusId,LDA,0.5686274509803922,0.23570226039551587,1_4
Canadian Grand Prix,statusId,MLP,0.6470588235294118,0.06353667351380256,1_4
Canadian Grand Prix,statusId,Extra Trees,0.6806910569105691,0.05067542348948963,1_5
Canadian Grand Prix,statusId,Random Forest,0.6392276422764227,0.05079267886016178,1_5
Canadian Grand Prix,statusId,Gradient Boosting,0.6640243902439025,0.021373379155062232,1_5
Canadian Grand Prix,statusId,Logistic Regression,0.7378048780487805,0.040751905804397186,1_5
Canadian Grand Prix,statusId,KNN,0.7378048780487805,0.02170137856103927,1_5
Canadian Grand Prix,statusId,SVC,0.7540650406504065,0.0399326884235539,1_5
Canadian Grand Prix,statusId,LDA,0.7213414634146341,0.010287846125889248,1_5
Canadian Grand Prix,statusId,MLP,0.6965447154471546,0.025073426443077196,1_5
Azerbaijan Grand Prix,statusId,Extra Trees,0.6327160493827161,0.08429938446757816,1_3
Azerbaijan Grand Prix,statusId,Random Forest,0.5965608465608466,0.05799023866873802,1_3
Azerbaijan Grand Prix,statusId,Gradient Boosting,0.5850970017636684,0.021717125848368136,1_3
Azerbaijan Grand Prix,statusId,Logistic Regression,0.6820987654320988,0.08955937116386979,1_3
Azerbaijan Grand Prix,statusId,KNN,0.6693121693121693,0.09398052734566989,1_3
Azerbaijan Grand Prix,statusId,SVC,0.7548500881834214,0.14093906895243064,1_3
Azerbaijan Grand Prix,statusId,LDA,0.6944444444444445,0.09886183566695657,1_3
Azerbaijan Grand Prix,statusId,MLP,0.6574074074074074,0.0796511598800243,1_3
Azerbaijan Grand Prix,statusId,Extra Trees,0.6568627450980392,0.0909178283872128,1_4
Azerbaijan Grand Prix,statusId,Random Forest,0.6176470588235294,0.10467723776501288,1_4
Azerbaijan Grand Prix,statusId,Gradient Boosting,0.5490196078431372,0.09998077477632913,1_4
Azerbaijan Grand Prix,statusId,Logistic Regression,0.6960784313725491,0.07719615562756676,1_4
Azerbaijan Grand Prix,statusId,KNN,0.7156862745098039,0.09091782838721274,1_4
Azerbaijan Grand Prix,statusId,SVC,0.7647058823529411,0.0,1_4
Azerbaijan Grand Prix,statusId,LDA,0.6960784313725489,0.09705387192756532,1_4
Azerbaijan Grand Prix,statusId,MLP,0.7156862745098039,0.04999038738816453,1_4
Azerbaijan Grand Prix,statusId,Extra Trees,0.6317073170731707,0.11970285107723307,1_5
Azerbaijan Grand Prix,statusId,Random Forest,0.6398373983739837,0.0903061383581259,1_5
Azerbaijan Grand Prix,statusId,Gradient Boosting,0.5981707317073172,0.043067374321104586,1_5
Azerbaijan Grand Prix,statusId,Logistic Regression,0.7217479674796747,0.038949156816414275,1_5
Azerbaijan Grand Prix,statusId,KNN,0.6810975609756098,0.1037027643571582,1_5
Azerbaijan Grand Prix,statusId,SVC,0.7461382113821138,0.02040836644888005,1_5
Azerbaijan Grand Prix,statusId,LDA,0.6892276422764229,0.09239409065860815,1_5
Azerbaijan Grand Prix,statusId,MLP,0.6723577235772357,0.06285977814659417,1_5
Austrian Grand Prix,statusId,Extra Trees,0.5379188712522046,0.07732031822498403,1_3
Austrian Grand Prix,statusId,Random Forest,0.5493827160493828,0.05724455861417103,1_3
Austrian Grand Prix,statusId,Gradient Boosting,0.5617283950617283,0.07458670354070722,1_3
Austrian Grand Prix,statusId,Logistic Regression,0.5749559082892416,0.10460799030925516,1_3
Austrian Grand Prix,statusId,KNN,0.6115520282186949,0.10522503169454218,1_3
Austrian Grand Prix,statusId,SVC,0.6948853615520282,0.020415938100159153,1_3
Austrian Grand Prix,statusId,LDA,0.5978835978835978,0.04906676452643228,1_3
Austrian Grand Prix,statusId,MLP,0.572310405643739,0.05212527938670779,1_3
Austrian Grand Prix,statusId,Extra Trees,0.5588235294117646,0.07204381596421114,1_4
Austrian Grand Prix,statusId,Random Forest,0.6176470588235294,0.04802921064280742,1_4
Austrian Grand Prix,statusId,Gradient Boosting,0.5980392156862745,0.027729677693590107,1_4
Austrian Grand Prix,statusId,Logistic Regression,0.607843137254902,0.08433652222590814,1_4
Austrian Grand Prix,statusId,KNN,0.6666666666666666,0.027729677693590107,1_4
Austrian Grand Prix,statusId,SVC,0.7156862745098039,0.03668291555660723,1_4
Austrian Grand Prix,statusId,LDA,0.607843137254902,0.013864838846795053,1_4
Austrian Grand Prix,statusId,MLP,0.5784313725490197,0.07719615562756679,1_4
Austrian Grand Prix,statusId,Extra Trees,0.7044715447154472,0.07108360273344524,1_5
Austrian Grand Prix,statusId,Random Forest,0.7209349593495936,0.059444878405485894,1_5
Austrian Grand Prix,statusId,Gradient Boosting,0.6642276422764227,0.03914277436491292,1_5
Austrian Grand Prix,statusId,Logistic Regression,0.6398373983739838,0.05827629573156883,1_5
Austrian Grand Prix,statusId,KNN,0.6963414634146341,0.05960242393664487,1_5
Austrian Grand Prix,statusId,SVC,0.7290650406504066,0.05520753243220493,1_5
Austrian Grand Prix,statusId,LDA,0.6477642276422765,0.027703483169230672,1_5
Austrian Grand Prix,statusId,MLP,0.6150406504065041,0.05558562211056679,1_5
British Grand Prix,statusId,Extra Trees,0.5714285714285715,0.14631008925542252,1_3
British Grand Prix,statusId,Random Forest,0.6582892416225748,0.020840039326448803,1_3
British Grand Prix,statusId,Gradient Boosting,0.646384479717813,0.015324644794517403,1_3
British Grand Prix,statusId,Logistic Regression,0.5714285714285715,0.14631008925542252,1_3
British Grand Prix,statusId,KNN,0.6948853615520282,0.10672744458841105,1_3
British Grand Prix,statusId,SVC,0.7319223985890652,0.012471019068545783,1_3
British Grand Prix,statusId,LDA,0.5357142857142857,0.1172756624088728,1_3
British Grand Prix,statusId,MLP,0.5476190476190476,0.12545002183167164,1_3
British Grand Prix,statusId,Extra Trees,0.6274509803921569,0.05545935538718021,1_4
British Grand Prix,statusId,Random Forest,0.6176470588235294,0.07204381596421114,1_4
British Grand Prix,statusId,Gradient Boosting,0.7058823529411765,0.02401460532140371,1_4
British Grand Prix,statusId,Logistic Regression,0.5098039215686275,0.06043543140165665,1_4
British Grand Prix,statusId,KNN,0.6568627450980392,0.03668291555660728,1_4
British Grand Prix,statusId,SVC,0.7156862745098039,0.04999038738816453,1_4
British Grand Prix,statusId,LDA,0.6274509803921569,0.06043543140165665,1_4
British Grand Prix,statusId,MLP,0.5980392156862745,0.06932419423397526,1_4
British Grand Prix,statusId,Extra Trees,0.6810975609756098,0.08932042326975081,1_5
British Grand Prix,statusId,Random Forest,0.6479674796747967,0.038116124129206626,1_5
British Grand Prix,statusId,Gradient Boosting,0.7132113821138212,0.040692051838425045,1_5
British Grand Prix,statusId,Logistic Regression,0.6884146341463415,0.013752219369135954,1_5
British Grand Prix,statusId,KNN,0.6973577235772357,0.06782712489146485,1_5
British Grand Prix,statusId,SVC,0.7296747967479674,0.017484400949273646,1_5
British Grand Prix,statusId,LDA,0.5646341463414634,0.08638761340695042,1_5
British Grand Prix,statusId,MLP,0.6560975609756098,0.03688226413728049,1_5
Hungarian Grand Prix,statusId,Extra Trees,0.7945326278659612,0.11644887094795901,1_3
Hungarian Grand Prix,statusId,Random Forest,0.8064373897707231,0.10115564831206424,1_3
Hungarian Grand Prix,statusId,Gradient Boosting,0.7447089947089948,0.05569186268168537,1_3
Hungarian Grand Prix,statusId,Logistic Regression,0.7826278659611993,0.13211777824619628,1_3
Hungarian Grand Prix,statusId,KNN,0.818342151675485,0.08643774782957916,1_3
Hungarian Grand Prix,statusId,SVC,0.818342151675485,0.08643774782957916,1_3
Hungarian Grand Prix,statusId,LDA,0.710758377425044,0.20850111754683104,1_3
Hungarian Grand Prix,statusId,MLP,0.818342151675485,0.08643774782957916,1_3
Hungarian Grand Prix,statusId,Extra Trees,0.7156862745098039,0.12323338323506404,1_4
Hungarian Grand Prix,statusId,Random Forest,0.7058823529411765,0.07204381596421108,1_4
Hungarian Grand Prix,statusId,Gradient Boosting,0.7647058823529411,0.06353667351380252,1_4
Hungarian Grand Prix,statusId,Logistic Regression,0.7647058823529411,0.0865858908463514,1_4
Hungarian Grand Prix,statusId,KNN,0.7941176470588235,0.06353667351380252,1_4
Hungarian Grand Prix,statusId,SVC,0.8039215686274509,0.0733658311132145,1_4
Hungarian Grand Prix,statusId,LDA,0.7156862745098039,0.11846123503524088,1_4
Hungarian Grand Prix,statusId,MLP,0.7549019607843137,0.11846123503524088,1_4
Hungarian Grand Prix,statusId,Extra Trees,0.7465447154471544,0.05894238855764969,1_5
Hungarian Grand Prix,statusId,Random Forest,0.6808943089430896,0.049869285147907706,1_5
Hungarian Grand Prix,statusId,Gradient Boosting,0.688211382113821,0.02701952741119325,1_5
Hungarian Grand Prix,statusId,Logistic Regression,0.7465447154471544,0.05547626372723726,1_5
Hungarian Grand Prix,statusId,KNN,0.7548780487804878,0.07816936822625299,1_5
Hungarian Grand Prix,statusId,SVC,0.7796747967479675,0.08566343795201205,1_5
Hungarian Grand Prix,statusId,LDA,0.7471544715447154,0.11899395408089523,1_5
Hungarian Grand Prix,statusId,MLP,0.7548780487804878,0.06726137674701306,1_5
Belgian Grand Prix,statusId,Extra Trees,0.7804232804232805,0.00374130572056373,1_3
Belgian Grand Prix,statusId,Random Forest,0.7438271604938271,0.030553996717937237,1_3
Belgian Grand Prix,statusId,Gradient Boosting,0.6834215167548501,0.028683343857655353,1_3
Belgian Grand Prix,statusId,Logistic Regression,0.6119929453262786,0.14310732116473224,1_3
Belgian Grand Prix,statusId,KNN,0.8042328042328042,0.03741305720563741,1_3
Belgian Grand Prix,statusId,SVC,0.8042328042328042,0.03741305720563741,1_3
Belgian Grand Prix,statusId,LDA,0.7799823633156967,0.03297753430567047,1_3
Belgian Grand Prix,statusId,MLP,0.7204585537918872,0.056917599869858615,1_3
Belgian Grand Prix,statusId,Extra Trees,0.6862745098039215,0.0604354314016566,1_4
Belgian Grand Prix,statusId,Random Forest,0.6862745098039215,0.11348859708617867,1_4
Belgian Grand Prix,statusId,Gradient Boosting,0.6960784313725491,0.09091782838721275,1_4
Belgian Grand Prix,statusId,Logistic Regression,0.676470588235294,0.08318903308077026,1_4
Belgian Grand Prix,statusId,KNN,0.7647058823529411,0.06353667351380252,1_4
Belgian Grand Prix,statusId,SVC,0.7745098039215685,0.0604354314016566,1_4
Belgian Grand Prix,statusId,LDA,0.7352941176470589,0.0415945165403851,1_4
Belgian Grand Prix,statusId,MLP,0.7058823529411765,0.08318903308077026,1_4
Belgian Grand Prix,statusId,Extra Trees,0.7042682926829268,0.0749694233394634,1_5
Belgian Grand Prix,statusId,Random Forest,0.7044715447154472,0.04336085704400289,1_5
Belgian Grand Prix,statusId,Gradient Boosting,0.7121951219512196,0.09366192405798157,1_5
Belgian Grand Prix,statusId,Logistic Regression,0.7130081300813007,0.09008629025541169,1_5
Belgian Grand Prix,statusId,KNN,0.7619918699186993,0.04765035726024396,1_5
Belgian Grand Prix,statusId,SVC,0.7705284552845528,0.04988667837699481,1_5
Belgian Grand Prix,statusId,LDA,0.7298780487804878,0.10455968886048973,1_5
Belgian Grand Prix,statusId,MLP,0.7123983739837398,0.10081997418890981,1_5
Italian Grand Prix,statusId,Extra Trees,0.7328042328042329,0.07042538062822362,1_3
Italian Grand Prix,statusId,Random Forest,0.7680776014109347,0.019599744947877324,1_3
Italian Grand Prix,statusId,Gradient Boosting,0.755731922398589,0.06408939086633729,1_3
Italian Grand Prix,statusId,Logistic Regression,0.7204585537918872,0.05691759986985862,1_3
Italian Grand Prix,statusId,KNN,0.8165784832451499,0.032424649578219084,1_3
Italian Grand Prix,statusId,SVC,0.8165784832451499,0.032424649578219084,1_3
Italian Grand Prix,statusId,LDA,0.46472663139329806,0.19674588925965744,1_3
Italian Grand Prix,statusId,MLP,0.7328042328042329,0.07042538062822362,1_3
Italian Grand Prix,statusId,Extra Trees,0.7745098039215685,0.02772967769359005,1_4
Italian Grand Prix,statusId,Random Forest,0.7647058823529411,0.0415945165403851,1_4
Italian Grand Prix,statusId,Gradient Boosting,0.7745098039215685,0.036682915556607236,1_4
Italian Grand Prix,statusId,Logistic Regression,0.8039215686274509,0.013864838846795053,1_4
Italian Grand Prix,statusId,KNN,0.7941176470588234,0.024014605321403714,1_4
Italian Grand Prix,statusId,SVC,0.8137254901960785,0.013864838846795053,1_4
Italian Grand Prix,statusId,LDA,0.7941176470588235,0.0415945165403851,1_4
Italian Grand Prix,statusId,MLP,0.784313725490196,0.03668291555660723,1_4
Italian Grand Prix,statusId,Extra Trees,0.6959349593495935,0.09726241579667108,1_5
Italian Grand Prix,statusId,Random Forest,0.7132113821138212,0.040692051838425045,1_5
Italian Grand Prix,statusId,Gradient Boosting,0.6644308943089431,0.047232378871428726,1_5
Italian Grand Prix,statusId,Logistic Regression,0.7380081300813007,0.027988328870758368,1_5
Italian Grand Prix,statusId,KNN,0.7211382113821138,0.04254138358358091,1_5
Italian Grand Prix,statusId,SVC,0.7869918699186993,0.04087741492675295,1_5
Italian Grand Prix,statusId,LDA,0.7623983739837398,0.060404507073972734,1_5
Italian Grand Prix,statusId,MLP,0.6471544715447154,0.034798267575662956,1_5
Singapore Grand Prix,statusId,Extra Trees,0.7310405643738976,0.09861572175622059,1_3
Singapore Grand Prix,statusId,Random Forest,0.7552910052910052,0.049149898399836744,1_3
Singapore Grand Prix,statusId,Gradient Boosting,0.6706349206349206,0.030756931263836485,1_3
Singapore Grand Prix,statusId,Logistic Regression,0.6975308641975309,0.1404914404535931,1_3
Singapore Grand Prix,statusId,KNN,0.7927689594356261,0.04563438812322969,1_3
Singapore Grand Prix,statusId,SVC,0.8051146384479718,0.03320664970681258,1_3
Singapore Grand Prix,statusId,LDA,0.6847442680776014,0.10645934203731912,1_3
Singapore Grand Prix,statusId,MLP,0.7081128747795414,0.07607321631812942,1_3
Singapore Grand Prix,statusId,Extra Trees,0.7058823529411765,0.06353667351380253,1_4
Singapore Grand Prix,statusId,Random Forest,0.7647058823529411,0.0865858908463514,1_4
Singapore Grand Prix,statusId,Gradient Boosting,0.7647058823529412,0.06353667351380252,1_4
Singapore Grand Prix,statusId,Logistic Regression,0.6568627450980392,0.13226213297286313,1_4
Singapore Grand Prix,statusId,KNN,0.7549019607843137,0.03668291555660723,1_4
Singapore Grand Prix,statusId,SVC,0.8137254901960783,0.03668291555660728,1_4
